Matches for frag_eroded_0.png:
Distance: 9.0, TrainIdx: 503, QueryIdx: 475
Distance: 11.0, TrainIdx: 725, QueryIdx: 800
Distance: 12.0, TrainIdx: 113, QueryIdx: 53
Distance: 12.0, TrainIdx: 73, QueryIdx: 160
Distance: 13.0, TrainIdx: 283, QueryIdx: 304
Distance: 13.0, TrainIdx: 621, QueryIdx: 594
Distance: 14.0, TrainIdx: 371, QueryIdx: 289
Distance: 14.0, TrainIdx: 736, QueryIdx: 715
Distance: 16.0, TrainIdx: 505, QueryIdx: 442
Distance: 16.0, TrainIdx: 507, QueryIdx: 500

Matches for frag_eroded_1.png:
Distance: 18.0, TrainIdx: 122, QueryIdx: 49
Distance: 19.0, TrainIdx: 273, QueryIdx: 245
Distance: 26.0, TrainIdx: 282, QueryIdx: 235
Distance: 30.0, TrainIdx: 72, QueryIdx: 225
Distance: 34.0, TrainIdx: 465, QueryIdx: 568
Distance: 37.0, TrainIdx: 422, QueryIdx: 165
Distance: 43.0, TrainIdx: 629, QueryIdx: 131
Distance: 44.0, TrainIdx: 724, QueryIdx: 391
Distance: 44.0, TrainIdx: 544, QueryIdx: 901
Distance: 46.0, TrainIdx: 765, QueryIdx: 606

Matches for frag_eroded_10.png:
Distance: 14.0, TrainIdx: 74, QueryIdx: 74
Distance: 14.0, TrainIdx: 608, QueryIdx: 600
Distance: 18.0, TrainIdx: 70, QueryIdx: 188
Distance: 19.0, TrainIdx: 266, QueryIdx: 352
Distance: 25.0, TrainIdx: 317, QueryIdx: 373
Distance: 40.0, TrainIdx: 732, QueryIdx: 901
Distance: 44.0, TrainIdx: 613, QueryIdx: 341
Distance: 46.0, TrainIdx: 471, QueryIdx: 73
Distance: 46.0, TrainIdx: 410, QueryIdx: 509
Distance: 46.0, TrainIdx: 197, QueryIdx: 566

Matches for frag_eroded_100.png:
Distance: 40.0, TrainIdx: 419, QueryIdx: 869
Distance: 44.0, TrainIdx: 173, QueryIdx: 540
Distance: 45.0, TrainIdx: 539, QueryIdx: 165
Distance: 46.0, TrainIdx: 175, QueryIdx: 403
Distance: 47.0, TrainIdx: 510, QueryIdx: 61
Distance: 47.0, TrainIdx: 13, QueryIdx: 951
Distance: 47.0, TrainIdx: 559, QueryIdx: 1007
Distance: 50.0, TrainIdx: 172, QueryIdx: 499
Distance: 51.0, TrainIdx: 259, QueryIdx: 876
Distance: 52.0, TrainIdx: 221, QueryIdx: 195

Matches for frag_eroded_101.png:
Distance: 51.0, TrainIdx: 445, QueryIdx: 131
Distance: 51.0, TrainIdx: 125, QueryIdx: 697
Distance: 52.0, TrainIdx: 101, QueryIdx: 557
Distance: 53.0, TrainIdx: 225, QueryIdx: 165
Distance: 53.0, TrainIdx: 397, QueryIdx: 797
Distance: 55.0, TrainIdx: 175, QueryIdx: 831
Distance: 55.0, TrainIdx: 128, QueryIdx: 876
Distance: 56.0, TrainIdx: 261, QueryIdx: 321
Distance: 57.0, TrainIdx: 166, QueryIdx: 381
Distance: 58.0, TrainIdx: 213, QueryIdx: 273

Matches for frag_eroded_102.png:
Distance: 42.0, TrainIdx: 100, QueryIdx: 903
Distance: 43.0, TrainIdx: 569, QueryIdx: 2
